DATE                      TIME                      DAYS_SINCE_JAN            H2O                       D_1816                    D_DH                     
12/02/15                  15:11:32.2                3.3563301162E+2           8.1270484577E+3           -2.5676211829E+1          -2.0860678690E+2         
12/02/15                  15:11:37.2                3.3563307033E+2           8.1366568557E+3           -2.5738105706E+1          -2.0814350433E+2         
12/02/15                  15:11:44.1                3.3563315030E+2           8.1133997244E+3           -2.5375601145E+1          -2.0962337140E+2         
12/02/15                  15:11:49.2                3.3563320901E+2           8.0996701626E+3           -2.5747257514E+1          -2.0825244890E+2         
12/02/15                  15:11:54.3                3.3563326786E+2           8.0961008222E+3           -2.5561381045E+1          -2.0842222826E+2         
12/02/15                  15:11:59.4                3.3563332694E+2           8.1004942085E+3           -2.6131000156E+1          -2.0565326078E+2         
12/02/15                  15:12:04.5                3.3563338611E+2           8.1166528985E+3           -2.5675277176E+1          -2.0564028566E+2         
12/02/15                  15:12:09.6                3.3563344554E+2           8.1184864721E+3           -2.5691367411E+1          -2.0732818392E+2         
12/02/15                  15:12:14.7                3.3563350432E+2           8.1296800266E+3           -2.5619471429E+1          -2.1101921787E+2         
12/02/15                  15:12:19.8                3.3563356303E+2           8.1417214808E+3           -2.5544994707E+1          -2.0791862750E+2         
12/02/15                  15:12:24.9                3.3563362211E+2           8.1303383894E+3           -2.5783226882E+1          -2.0726046329E+2         
12/02/15                  15:12:30.0                3.3563368105E+2           8.1418372890E+3           -2.6010879123E+1          -2.0406293332E+2         
12/02/15                  15:12:35.1                3.3563374024E+2           8.1489906333E+3           -2.5984680063E+1          -2.0547027419E+2         
12/02/15                  15:12:42.0                3.3563382031E+2           8.1596330328E+3           -2.5212849353E+1          -2.0843665025E+2         
12/02/15                  15:12:47.1                3.3563387910E+2           8.2003977480E+3           -2.5221430892E+1          -2.1026594456E+2         
12/02/15                  15:12:52.2                3.3563393783E+2           8.2304281900E+3           -2.5747404719E+1          -2.0634703447E+2         
12/02/15                  15:12:57.3                3.3563399680E+2           8.2311417404E+3           -2.5659510538E+1          -2.0697970206E+2         
12/02/15                  15:13:02.4                3.3563405567E+2           8.2241391852E+3           -2.5861602759E+1          -2.0466962195E+2         
12/02/15                  15:13:07.5                3.3563411466E+2           8.2274756532E+3           -2.5516221566E+1          -2.0866961446E+2         
12/02/15                  15:13:12.5                3.3563417343E+2           8.2435634404E+3           -2.5513135476E+1          -2.0626419033E+2         
12/02/15                  15:13:17.6                3.3563423218E+2           8.2358425681E+3           -2.5600221263E+1          -2.0683029030E+2         
12/02/15                  15:13:22.7                3.3563429123E+2           8.2524420393E+3           -2.5826533683E+1          -2.0316655147E+2         
12/02/15                  15:13:27.8                3.3563435011E+2           8.2723327269E+3           -2.5645897164E+1          -2.0550745864E+2         
12/02/15                  15:13:32.9                3.3563440905E+2           8.3050224484E+3           -2.5394980514E+1          -2.0471099909E+2         
12/02/15                  15:13:39.8                3.3563448931E+2           8.3053092546E+3           -2.5496292618E+1          -2.0676441124E+2         
12/02/15                  15:13:44.9                3.3563454782E+2           8.2539770079E+3           -2.5504932104E+1          -2.0405676857E+2         
12/02/15                  15:13:50.0                3.3563460677E+2           8.2197945487E+3           -2.5631298218E+1          -2.0604765878E+2         
12/02/15                  15:13:55.1                3.3563466589E+2           8.2143966538E+3           -2.5435279794E+1          -2.0862258424E+2         
12/02/15                  15:14:00.2                3.3563472491E+2           8.1898103603E+3           -2.5508190429E+1          -2.0477441448E+2         
12/02/15                  15:14:05.3                3.3563478409E+2           8.1375099510E+3           -2.5171785578E+1          -2.0778418444E+2         
12/02/15                  15:14:10.4                3.3563484268E+2           8.0937379619E+3           -2.4956843034E+1          -2.0734339054E+2         
12/02/15                  15:14:15.4                3.3563490145E+2           8.0569270328E+3           -2.5294379280E+1          -2.0627367186E+2         
12/02/15                  15:14:20.5                3.3563496042E+2           8.0381178438E+3           -2.6105328779E+1          -2.0247762278E+2         
12/02/15                  15:14:25.6                3.3563501936E+2           8.0346872194E+3           -2.5450036503E+1          -2.0594699245E+2         
12/02/15                  15:14:30.7                3.3563507818E+2           8.0345565641E+3           -2.5432235409E+1          -2.1112060796E+2         
12/02/15                  15:14:37.6                3.3563515797E+2           8.0447426553E+3           -2.5786860041E+1          -2.0605430585E+2         
12/02/15                  15:14:42.6                3.3563521638E+2           8.0566883741E+3           -2.5220997734E+1          -2.0727434648E+2         
12/02/15                  15:14:47.7                3.3563527494E+2           8.0541116464E+3           -2.5378838825E+1          -2.0719807150E+2         
